Stock NO,Shape,Carat,Clarity,Color,Cut,Polish,Symmetry,Fluorescent,CULET,Location,ImageLink,CertificateLink,VideoLink,PPC,Total Price
988326,ROUND,0.3,SI2,FANCY,EX,GD,GD,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/988326.jpg,https://diamanti.s3.amazonaws.com/certificates/5296297128.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=988326,875,262.5
1110787,ROUND,0.3,SI2,FANCY,VG,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/1303942083.jpg,,1350,405
1086600,ROUND,0.3,VS1,S-T,VG,VG,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6312009561.jpg,,499,149.7
1041143,ROUND,0.3,VS1,S-T,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/2306293106.jpg,,704,211.2
1071908,ROUND,0.3,VVS1,Q-R,EX,EX,EX,F,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/1305642889.jpg,,683,204.9
1049183,ROUND,0.3,VS1,Q-R,GD,VG,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/2304498269.jpg,,527,158.1
1033409,ROUND,0.3,VS2,Q-R,EX,EX,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/7308108313.jpg,,502,150.6
1153752,ROUND,0.3,IF,E,VG,EX,VG,N,NONE,MUMBAI,,,,1710,513
1153732,ROUND,0.3,VVS1,E,VG,EX,VG,N,NONE,MUMBAI,,,,1680,504
1126756,ROUND,0.3,VVS1,E,EX,EX,EX,F,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6311518041.jpg,,1769.04,530.71
1153733,ROUND,0.3,VVS1,E,EX,EX,EX,F,NONE,MUMBAI,,,,1764,529.2
1131903,ROUND,0.3,VVS1,E,EX,EX,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6315523383.jpg,,1847.16,554.15
1126751,ROUND,0.3,VVS1,E,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6311551800.jpg,,1929.2,578.76
1126753,ROUND,0.3,VVS1,E,EX,EX,EX,M,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/2317551657.jpg,,1655.08,496.52
1131906,ROUND,0.3,VVS1,E,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/1319473370.jpg,,1955.24,586.57
1126752,ROUND,0.3,VVS1,E,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/2316522919.jpg,,1956.08,586.82
1153734,ROUND,0.3,VVS1,E,EX,EX,EX,N,NONE,MUMBAI,,,,1988,596.4
1130244,ROUND,0.3,VVS1,E,EX,EX,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6311465341.jpg,,1820,546
1142465,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/181272-296.jpg,https://diamanti.s3.amazonaws.com/certificates/6312821798.jpg,,2028.04,608.41
1152611,ROUND,0.3,VVS1,E,EX,EX,VG,N,NONE,MUMBAI,,,,1876,562.8
1152612,ROUND,0.3,VVS1,E,EX,EX,VG,N,NONE,MUMBAI,,,,1848,554.4
1154253,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/192001-2677.jpg,,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=192001-2677,1988,596.4
1155320,ROUND,0.3,VVS1,E,EX,EX,EX,F,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/192001-2926.jpg,,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=192001-2926,1876,562.8
1124034,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182300-677.jpg,https://diamanti.s3.amazonaws.com/certificates/6311596694.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182300-677,1923.04,576.91
1135708,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6311731363.jpg,,1995,598.5
1147477,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182316-551.jpg,https://diamanti.s3.amazonaws.com/certificates/6311839575.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182316-551,1981,594.3
1137972,ROUND,0.3,VVS1,E,EX,EX,VG,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182318-391.jpg,https://diamanti.s3.amazonaws.com/certificates/5316774979.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182318-391,1786.12,535.84
1135707,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/2314707694.jpg,,1967,590.1
1143973,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182318-515.jpg,https://diamanti.s3.amazonaws.com/certificates/6312814621.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182318-515,2028.04,608.41
1143972,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183327-505.jpg,https://diamanti.s3.amazonaws.com/certificates/2317814556.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183327-505,2001.16,600.35
